0.00000e+00 0.00000e+00
5.00000e-02 4.80913e-01
1.00000e-01 8.99857e-01
1.50000e-01 1.21290e+00
2.00000e-01 1.40203e+00
2.50000e-01 1.47653e+00
3.00000e-01 1.46034e+00
3.50000e-01 1.38339e+00
4.00000e-01 1.27022e+00
4.50000e-01 1.13884e+00
5.00000e-01 9.99790e-01
5.50000e-01 8.59694e-01
6.00000e-01 7.22804e-01
6.50000e-01 5.92598e-01
7.00000e-01 4.71996e-01
7.50000e-01 3.63322e-01
8.00000e-01 2.67973e-01
8.50000e-01 1.86087e-01
9.00000e-01 1.16293e-01
9.50000e-01 5.56692e-02
1.00000e+00 0.00000e+00
